state_abv,county,county_fips,family,total_budget_avg,asian_hourly,white_hourly,black_hourly,hispanic_hourly,less_than_hs,high_school,associates_degree,bachelors_degree,advanced_degree,men_median,women_median
AK,Lake and Peninsula Borough,2164,2p3c,116112.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Lake and Peninsula Borough,2164,2p4c,129828.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Matanuska-Susitna Borough,2170,1p0c,49200.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Matanuska-Susitna Borough,2170,1p1c,76428.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Matanuska-Susitna Borough,2170,1p2c,99324.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Matanuska-Susitna Borough,2170,1p3c,126480.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Matanuska-Susitna Borough,2170,1p4c,139044.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Matanuska-Susitna Borough,2170,2p0c,66132.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Matanuska-Susitna Borough,2170,2p1c,90552.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Matanuska-Susitna Borough,2170,2p2c,111792.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
